"Bharti Nagar , Delhi","Bharti Nagar, New Delhi, Delhi 110003, India",28.594759,77.229379,3,200,Delhi
"Bhatti Mines , Delhi","Bhatti Mines Sanjay Colony, Sanjay Colony, Bhatti Kalan, New Delhi, Delhi 110074",28.430027,77.225971,3,200,Delhi
"Bhatti Mines Check Post , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bhor Garh , Delhi","Bhorgarh, Narela, New Delhi, Delhi, India",28.825813,77.088103,3,200,Delhi
"Bijwasan Border , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Bijwasan Rly Station , Delhi","Bijwasan Railway Station, Nayak Pura, Bijwasan, New Delhi, Delhi 110061, India",28.537075,77.051314,3,200,Delhi
"Bijwasan School , Delhi","Delhi national public school, Bijwasan, New Delhi, Delhi 110061, India",28.531086,77.050825,3,200,Delhi
"Brahma Farm , Delhi","Brahma Kumaris Rajyoga Center, Mohammadpur, RamaKrishna Puram, New Delhi, Delhi 110022, India",28.564307,77.188483,3,200,Delhi
"Brar Square , Delhi","Brar Square, Delhi Cantonment, New Delhi, Delhi 110010, India",28.612298,77.139169,3,200,Delhi
"BSEL Sector-16A , Delhi","Bhel, Film City, Sector 16A, Noida, Uttar Pradesh 201301",28.573968,77.314285,3,200,Delhi
"Budh Pur , Delhi","Budhpur, New Delhi, Delhi, India",28.783432,77.13845,3,200,Delhi
"Budh Vihar , Delhi","Budh Vihar, New Delhi, Delhi, India",28.716994,77.088103,3,200,Delhi
"Budh Vihar Ph-II , Delhi","Budh Vihar Phase II, Budh Vihar, New Delhi, Delhi, India",28.718566,77.089542,3,200,Delhi
"Budha Jayanti Park , Delhi","Budha Jayanti Park, Central Ridge Reserve Forest, New Delhi, Delhi 110012",28.620215,77.176834,3,200,Delhi
"Burari Village , Delhi","Burari, New Delhi, Delhi, India",28.75544,77.19412,3,200,Delhi
"Burari Crossing , Delhi","Burari Crossing, Outer Ring Road, Jharoda Majra Burari, New Delhi, Delhi 110033, India",28.728748,77.196432,3,200,Delhi
"Cargo Terminal , Delhi","Cargo Office, Terminal 2B Road, Indira Gandhi International Airport (DEL), IGI Airport, Indira Gandhi International Airport, New Delhi, Delhi 110037, India",28.556706,77.093328,3,200,Delhi
"Central School , Delhi","Central School, Andrews Ganj, New Delhi, Delhi 110049",28.563197,77.232672,3,200,Delhi
"Central Secretariat , Delhi","Central Secretariat, New Delhi, Delhi, India",28.613955,77.208899,3,200,Delhi
"Central Work Shop-II , Delhi","Central Workshop, IIT Delhi Campus, Jia Sarai, Hauz Khas, New Delhi, Delhi 110016, India",28.543758,77.191958,3,200,Delhi
"CGO Complex (Ispat Bhawan) , Delhi","Ispat Bhawan, CGO Complex, Pragati Vihar, New Delhi, Delhi 110003",28.592337,77.236543,3,200,Delhi
"Chand Pur , Delhi","Chand Pur, Chandpur Village, New Delhi, Delhi 110081",28.753335,77.00819,3,200,Delhi
"Chand Pur Crossing , Delhi","Delhi Road, Roorkee, Uttarakhand 247667, India",29.852437,77.887669,5,200,Delhi
"Chandra Nagar , Delhi","Chandra Nagar, Krishna Nagar, New Delhi, Delhi 110051, India",28.652591,77.279665,3,200,Delhi
"Chattar Pur , Delhi","Chattarpur, Chhatarpur, New Delhi, Delhi 110030, India",28.49597,77.182305,3,200,Delhi
"Chattarpur Extension , Delhi","Chhatarpur Extension, Chhatarpur, New Delhi, Delhi 110030, India",28.489445,77.181587,3,200,Delhi
"Chauhan Patti , Delhi","Chauhan Patti, Sabhapur, New Delhi, Delhi 110094",28.754473,77.2433,3,200,Delhi
"Check Post  (Bhatti Mines) , Delhi","New Delhi, Delhi, India",28.635308,77.22496,3,200,Delhi
"Chhajju Pur , Delhi","North Chhajupur, Shahdara, New Delhi, Delhi 110032, India",28.689989,77.286667,3,200,Delhi
"Chhawala Camp , Delhi","Chhawla, New Delhi, Delhi 110071, India",28.561198,77.003186,3,200,Delhi
"Chhawala Village , Delhi","Chhawla, New Delhi, Delhi, India",28.55684,77.00713,3,200,Delhi
"Chilla Vill. (Noida) , Delhi","Chilla, Sector 14A, New Delhi, Delhi 110096, India",28.584439,77.301928,3,200,Delhi
